id_venta,fecha,id_cliente,nombre_cliente,email,medio_pago,id_producto,nombre_producto,categoria,precio_unitario,cantidad,importe,ciudad,fecha_alta,latitud,longitud,Valor_del_Plan,precio_unitario_normalizado,cantidad_normalizado,importe_normalizado
1,2024-06-19,62,Guadalupe Romero,guadalupe.romero@mail.com,Tarjeta,90,Toallas Húmedas x50,Limpieza,2902,1,2902,Villa Carlos Paz,2023-03-03,-31.4183,-64.4901,Bajo,0.19,-1.44,-0.92
2,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,QR,82,Aceitunas Negras 200g,Embutidos,2394,5,11970,Río Cuarto,2023-02-18,-33.1304,-64.3527,Alto,-0.2,1.49,0.81
2,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,QR,39,Helado Vainilla 1L,Dulcería,469,5,2345,Río Cuarto,2023-02-18,-33.1304,-64.3527,Bajo,-1.67,1.49,-1.02
2,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,QR,70,Fernet 750ml,Licores,4061,2,8122,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,1.07,-0.7,0.07
2,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,QR,22,Medialunas de Manteca,Embutidos,2069,1,2069,Río Cuarto,2023-02-18,-33.1304,-64.3527,Bajo,-0.45,-1.44,-1.08
2,2024-03-17,49,Olivia Gomez,olivia.gomez@mail.com,QR,79,Hamburguesas Congeladas x4,Embutidos,2420,4,9680,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,-0.18,0.76,0.37
3,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,Tarjeta,9,Yerba Mate Suave 1kg,Abarrotes,3878,2,7756,Río Cuarto,2023-01-20,-33.1304,-64.3527,Medio,0.93,-0.7,0.0
3,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,Tarjeta,2,Pepsi 1.5L,Bebidas,4973,2,9946,Río Cuarto,2023-01-20,-33.1304,-64.3527,Medio,1.77,-0.7,0.42
3,2024-01-13,20,Tomas Acosta,tomas.acosta@mail.com,Tarjeta,85,Jugo en Polvo Naranja,Bebidas,1856,1,1856,Río Cuarto,2023-01-20,-33.1304,-64.3527,Bajo,-0.61,-1.44,-1.12
4,2024-02-27,36,Martina Molina,martina.molina@mail.com,Transferencia,4,Fanta Naranja 1.5L,Bebidas,2033,2,4066,Mendiolaza,2023-02-05,-31.2641,-64.3091,Medio,-0.47,-0.7,-0.7
4,2024-02-27,36,Martina Molina,martina.molina@mail.com,Transferencia,23,Bizcochos Salados,Panadería,2380,5,11900,Mendiolaza,2023-02-05,-31.2641,-64.3091,Alto,-0.21,1.49,0.79
5,2024-06-11,56,Bruno Diaz,bruno.diaz@mail.com,Tarjeta,86,Jugo en Polvo Limón,Abarrotes,4090,4,16360,Río Cuarto,2023-02-25,-33.1304,-64.3527,Alto,1.1,0.76,1.64
6,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,Transferencia,25,Galletitas Vainilla,Dulcería,4015,2,8030,Mendiolaza,2023-04-01,-31.2641,-64.3091,Medio,1.04,-0.7,0.06
6,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,Transferencia,31,Mix de Frutos Secos 200g,Dulcería,3409,3,10227,Mendiolaza,2023-04-01,-31.2641,-64.3091,Medio,0.58,0.03,0.47
6,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,Transferencia,83,Queso Untable 190g,Embutidos,1830,1,1830,Mendiolaza,2023-04-01,-31.2641,-64.3091,Bajo,-0.63,-1.44,-1.12
6,2024-05-05,91,Uma Sanchez,uma.sanchez@mail.com,Transferencia,59,Chicle Menta,Dulcería,3612,4,14448,Mendiolaza,2023-04-01,-31.2641,-64.3091,Alto,0.73,0.76,1.28
7,2024-05-06,92,Mariana Rodriguez,mariana.rodriguez@mail.com,Efectivo,63,Granola 250g,Dulcería,4337,3,13011,Alta Gracia,2023-04-02,-31.6498,-64.4297,Alto,1.29,0.03,1.0
8,2024-01-06,66,Tomas Herrera,tomas.herrera@mail.com,Transferencia,53,Lavandina 1L,Limpieza,1664,5,8320,Villa María,2023-03-07,-32.4075,-63.2402,Medio,-0.76,1.49,0.11
8,2024-01-06,66,Tomas Herrera,tomas.herrera@mail.com,Transferencia,18,Queso Rallado 150g,Embutidos,3444,4,13776,Villa María,2023-03-07,-32.4075,-63.2402,Alto,0.6,0.76,1.15
8,2024-01-06,66,Tomas Herrera,tomas.herrera@mail.com,Transferencia,68,Vino Blanco 750ml,Licores,2684,5,13420,Villa María,2023-03-07,-32.4075,-63.2402,Alto,0.02,1.49,1.08
9,2024-01-20,86,Diego Torres,diego.torres@mail.com,Efectivo,65,Cerveza Rubia 1L,Licores,2423,4,9692,Córdoba,2023-03-27,-31.4065,-64.1885,Medio,-0.18,0.76,0.37
10,2024-05-28,52,Diego Diaz,diego.diaz@mail.com,QR,36,Dulce de Leche 400g,Abarrotes,2559,2,5118,Río Cuarto,2023-02-21,-33.1304,-64.3527,Medio,-0.07,-0.7,-0.5
10,2024-05-28,52,Diego Diaz,diego.diaz@mail.com,QR,100,Trapo de Piso,Limpieza,4854,4,19416,Río Cuarto,2023-02-21,-33.1304,-64.3527,Alto,1.68,0.76,2.22
10,2024-05-28,52,Diego Diaz,diego.diaz@mail.com,QR,37,Mermelada de Durazno 400g,Embutidos,3196,3,9588,Río Cuarto,2023-02-21,-33.1304,-64.3527,Medio,0.41,0.03,0.35
10,2024-05-28,52,Diego Diaz,diego.diaz@mail.com,QR,62,Stevia 100 sobres,Abarrotes,3848,1,3848,Río Cuarto,2023-02-21,-33.1304,-64.3527,Medio,0.91,-1.44,-0.74
11,2024-04-10,20,Tomas Acosta,tomas.acosta@mail.com,QR,13,Té Verde 20 saquitos,Abarrotes,2383,1,2383,Río Cuarto,2023-01-20,-33.1304,-64.3527,Bajo,-0.21,-1.44,-1.02
11,2024-04-10,20,Tomas Acosta,tomas.acosta@mail.com,QR,65,Cerveza Rubia 1L,Licores,2423,2,4846,Río Cuarto,2023-01-20,-33.1304,-64.3527,Medio,-0.18,-0.7,-0.55
11,2024-04-10,20,Tomas Acosta,tomas.acosta@mail.com,QR,28,Papas Fritas Clásicas 100g,Dulcería,936,1,936,Río Cuarto,2023-01-20,-33.1304,-64.3527,Bajo,-1.31,-1.44,-1.29
12,2024-06-28,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Efectivo,72,Ron 700ml,Licores,3876,2,7752,Córdoba,2023-04-06,-31.4065,-64.1885,Medio,0.93,-0.7,0.0
12,2024-06-28,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Efectivo,50,Azúcar 1kg,Abarrotes,727,2,1454,Córdoba,2023-04-06,-31.4065,-64.1885,Bajo,-1.47,-0.7,-1.19
12,2024-06-28,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Efectivo,56,Papel Higiénico x4,Limpieza,2532,3,7596,Córdoba,2023-04-06,-31.4065,-64.1885,Medio,-0.09,0.03,-0.03
12,2024-06-28,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Efectivo,87,Sopa Instantánea Pollo,Abarrotes,1679,3,5037,Córdoba,2023-04-06,-31.4065,-64.1885,Medio,-0.75,0.03,-0.51
12,2024-06-28,96,Rocio Gonzalez,rocio.gonzalez@mail.com,Efectivo,38,Mermelada de Frutilla 400g,Embutidos,1584,4,6336,Córdoba,2023-04-06,-31.4065,-64.1885,Medio,-0.82,0.76,-0.26
13,2024-01-24,6,Uma Medina,uma.medina@mail.com,Tarjeta,87,Sopa Instantánea Pollo,Abarrotes,1679,1,1679,Villa María,2023-01-06,-32.4075,-63.2402,Bajo,-0.75,-1.44,-1.15
13,2024-01-24,6,Uma Medina,uma.medina@mail.com,Tarjeta,81,Aceitunas Verdes 200g,Embutidos,2520,3,7560,Villa María,2023-01-06,-32.4075,-63.2402,Medio,-0.1,0.03,-0.03
13,2024-01-24,6,Uma Medina,uma.medina@mail.com,Tarjeta,13,Té Verde 20 saquitos,Abarrotes,2383,1,2383,Villa María,2023-01-06,-32.4075,-63.2402,Bajo,-0.21,-1.44,-1.02
14,2024-04-18,67,Ivana Romero,ivana.romero@mail.com,QR,36,Dulce de Leche 400g,Abarrotes,2559,4,10236,Alta Gracia,2023-03-08,-31.6498,-64.4297,Alto,-0.07,0.76,0.48
14,2024-04-18,67,Ivana Romero,ivana.romero@mail.com,QR,72,Ron 700ml,Licores,3876,5,19380,Alta Gracia,2023-03-08,-31.6498,-64.4297,Alto,0.93,1.49,2.21
14,2024-04-18,67,Ivana Romero,ivana.romero@mail.com,QR,38,Mermelada de Frutilla 400g,Embutidos,1584,3,4752,Alta Gracia,2023-03-08,-31.6498,-64.4297,Medio,-0.82,0.03,-0.57
14,2024-04-18,67,Ivana Romero,ivana.romero@mail.com,QR,97,Limpiavidrios 500ml,Limpieza,872,1,872,Alta Gracia,2023-03-08,-31.6498,-64.4297,Bajo,-1.36,-1.44,-1.3
15,2024-06-27,56,Bruno Diaz,bruno.diaz@mail.com,Transferencia,37,Mermelada de Durazno 400g,Embutidos,3196,3,9588,Río Cuarto,2023-02-25,-33.1304,-64.3527,Medio,0.41,0.03,0.35
16,2024-04-12,2,Nicolas Rojas,nicolas.rojas@mail.com,Efectivo,35,Barrita de Cereal 30g,Dulcería,4430,5,22150,Villa Carlos Paz,2023-01-02,-31.4183,-64.4901,Alto,1.36,1.49,2.74
17,2024-02-17,88,Felipe Castro,felipe.castro@mail.com,Efectivo,81,Aceitunas Verdes 200g,Embutidos,2520,5,12600,Villa María,2023-03-29,-32.4075,-63.2402,Alto,-0.1,1.49,0.92
17,2024-02-17,88,Felipe Castro,felipe.castro@mail.com,Efectivo,46,Lentejas Secas 500g,Abarrotes,3036,5,15180,Villa María,2023-03-29,-32.4075,-63.2402,Alto,0.29,1.49,1.41
17,2024-02-17,88,Felipe Castro,felipe.castro@mail.com,Efectivo,74,Whisky 750ml,Licores,2953,3,8859,Villa María,2023-03-29,-32.4075,-63.2402,Medio,0.23,0.03,0.21
18,2024-06-11,81,Camila Ruiz,camila.ruiz@mail.com,QR,33,Chocolate con Leche 100g,Abarrotes,1255,2,2510,Villa Carlos Paz,2023-03-22,-31.4183,-64.4901,Bajo,-1.07,-0.7,-0.99
18,2024-06-11,81,Camila Ruiz,camila.ruiz@mail.com,QR,4,Fanta Naranja 1.5L,Bebidas,2033,5,10165,Villa Carlos Paz,2023-03-22,-31.4183,-64.4901,Medio,-0.47,1.49,0.46
18,2024-06-11,81,Camila Ruiz,camila.ruiz@mail.com,QR,24,Galletitas Chocolate,Dulcería,1305,2,2610,Villa Carlos Paz,2023-03-22,-31.4183,-64.4901,Bajo,-1.03,-0.7,-0.97
18,2024-06-11,81,Camila Ruiz,camila.ruiz@mail.com,QR,15,Leche Descremada 1L,Abarrotes,2538,3,7614,Villa Carlos Paz,2023-03-22,-31.4183,-64.4901,Medio,-0.09,0.03,-0.02
18,2024-06-11,81,Camila Ruiz,camila.ruiz@mail.com,QR,22,Medialunas de Manteca,Embutidos,2069,5,10345,Villa Carlos Paz,2023-03-22,-31.4183,-64.4901,Alto,-0.45,1.49,0.5
19,2024-06-11,80,Gael Ruiz,gael.ruiz@mail.com,Efectivo,38,Mermelada de Frutilla 400g,Embutidos,1584,2,3168,Mendiolaza,2023-03-21,-31.2641,-64.3091,Bajo,-0.82,-0.7,-0.87
19,2024-06-11,80,Gael Ruiz,gael.ruiz@mail.com,Efectivo,98,Desengrasante 500ml,Limpieza,2843,3,8529,Mendiolaza,2023-03-21,-31.2641,-64.3091,Medio,0.14,0.03,0.15
19,2024-06-11,80,Gael Ruiz,gael.ruiz@mail.com,Efectivo,63,Granola 250g,Dulcería,4337,3,13011,Mendiolaza,2023-03-21,-31.2641,-64.3091,Alto,1.29,0.03,1.0
20,2024-01-13,75,Santiago Castro,santiago.castro@mail.com,Tarjeta,32,Chocolate Amargo 100g,Abarrotes,2234,3,6702,Río Cuarto,2023-03-16,-33.1304,-64.3527,Medio,-0.32,0.03,-0.2
21,2024-06-19,10,Karina Acosta,karina.acosta@mail.com,Transferencia,76,Pizza Congelada Muzzarella,Embutidos,4286,5,21430,Córdoba,2023-01-10,-31.4065,-64.1885,Alto,1.25,1.49,2.6
21,2024-06-19,10,Karina Acosta,karina.acosta@mail.com,Transferencia,35,Barrita de Cereal 30g,Dulcería,4430,1,4430,Córdoba,2023-01-10,-31.4065,-64.1885,Medio,1.36,-1.44,-0.63
22,2024-05-08,64,Julian Alvarez,julian.alvarez@mail.com,Transferencia,9,Yerba Mate Suave 1kg,Abarrotes,3878,2,7756,Villa María,2023-03-05,-32.4075,-63.2402,Medio,0.93,-0.7,0.0
22,2024-05-08,64,Julian Alvarez,julian.alvarez@mail.com,Transferencia,28,Papas Fritas Clásicas 100g,Dulcería,936,3,2808,Villa María,2023-03-05,-32.4075,-63.2402,Bajo,-1.31,0.03,-0.93
22,2024-05-08,64,Julian Alvarez,julian.alvarez@mail.com,Transferencia,24,Galletitas Chocolate,Dulcería,1305,4,5220,Villa María,2023-03-05,-32.4075,-63.2402,Medio,-1.03,0.76,-0.48
23,2024-05-16,78,Emilia Alvarez,emilia.alvarez@mail.com,Transferencia,64,Avena Instantánea 250g,Abarrotes,3953,4,15812,Villa María,2023-03-19,-32.4075,-63.2402,Alto,0.99,0.76,1.53
23,2024-05-16,78,Emilia Alvarez,emilia.alvarez@mail.com,Transferencia,83,Queso Untable 190g,Embutidos,1830,4,7320,Villa María,2023-03-19,-32.4075,-63.2402,Medio,-0.63,0.76,-0.08
24,2024-06-14,55,Olivia Ruiz,olivia.ruiz@mail.com,Tarjeta,91,Desodorante Aerosol,Limpieza,4690,2,9380,Mendiolaza,2023-02-24,-31.2641,-64.3091,Medio,1.56,-0.7,0.31
24,2024-06-14,55,Olivia Ruiz,olivia.ruiz@mail.com,Tarjeta,40,Helado Chocolate 1L,Dulcería,1215,5,6075,Mendiolaza,2023-02-24,-31.2641,-64.3091,Medio,-1.1,1.49,-0.31
25,2024-04-30,13,Ivana Sanchez,ivana.sanchez@mail.com,Transferencia,55,Shampoo 400ml,Limpieza,1407,1,1407,Villa Carlos Paz,2023-01-13,-31.4183,-64.4901,Bajo,-0.95,-1.44,-1.2
25,2024-04-30,13,Ivana Sanchez,ivana.sanchez@mail.com,Transferencia,95,Mascarilla Capilar,Limpieza,1581,5,7905,Villa Carlos Paz,2023-01-13,-31.4183,-64.4901,Medio,-0.82,1.49,0.03
25,2024-04-30,13,Ivana Sanchez,ivana.sanchez@mail.com,Transferencia,72,Ron 700ml,Licores,3876,1,3876,Villa Carlos Paz,2023-01-13,-31.4183,-64.4901,Medio,0.93,-1.44,-0.73
26,2024-01-23,49,Olivia Gomez,olivia.gomez@mail.com,Efectivo,79,Hamburguesas Congeladas x4,Embutidos,2420,2,4840,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,-0.18,-0.7,-0.55
26,2024-01-23,49,Olivia Gomez,olivia.gomez@mail.com,Efectivo,86,Jugo en Polvo Limón,Abarrotes,4090,1,4090,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,1.1,-1.44,-0.69
27,2024-02-25,9,Yamila Molina,yamila.molina@mail.com,Transferencia,7,Jugo de Manzana 1L,Bebidas,3269,4,13076,Villa Carlos Paz,2023-01-09,-31.4183,-64.4901,Alto,0.47,0.76,1.02
27,2024-02-25,9,Yamila Molina,yamila.molina@mail.com,Transferencia,78,Verduras Congeladas Mix,Verduras,4289,4,17156,Villa Carlos Paz,2023-01-09,-31.4183,-64.4901,Alto,1.25,0.76,1.79
28,2024-05-20,52,Diego Diaz,diego.diaz@mail.com,QR,74,Whisky 750ml,Licores,2953,1,2953,Río Cuarto,2023-02-21,-33.1304,-64.3527,Bajo,0.23,-1.44,-0.91
28,2024-05-20,52,Diego Diaz,diego.diaz@mail.com,QR,91,Desodorante Aerosol,Limpieza,4690,2,9380,Río Cuarto,2023-02-21,-33.1304,-64.3527,Medio,1.56,-0.7,0.31
28,2024-05-20,52,Diego Diaz,diego.diaz@mail.com,QR,72,Ron 700ml,Licores,3876,1,3876,Río Cuarto,2023-02-21,-33.1304,-64.3527,Medio,0.93,-1.44,-0.73
28,2024-05-20,52,Diego Diaz,diego.diaz@mail.com,QR,18,Queso Rallado 150g,Embutidos,3444,2,6888,Río Cuarto,2023-02-21,-33.1304,-64.3527,Medio,0.6,-0.7,-0.16
28,2024-05-20,52,Diego Diaz,diego.diaz@mail.com,QR,27,Alfajor Simple,Panadería,2502,5,12510,Río Cuarto,2023-02-21,-33.1304,-64.3527,Alto,-0.12,1.49,0.91
29,2024-02-20,49,Olivia Gomez,olivia.gomez@mail.com,QR,58,Caramelos Masticables,Dulcería,4752,1,4752,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,1.6,-1.44,-0.57
29,2024-02-20,49,Olivia Gomez,olivia.gomez@mail.com,QR,36,Dulce de Leche 400g,Abarrotes,2559,2,5118,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,-0.07,-0.7,-0.5
29,2024-02-20,49,Olivia Gomez,olivia.gomez@mail.com,QR,71,Vodka 700ml,Licores,508,4,2032,Río Cuarto,2023-02-18,-33.1304,-64.3527,Bajo,-1.64,0.76,-1.08
29,2024-02-20,49,Olivia Gomez,olivia.gomez@mail.com,QR,27,Alfajor Simple,Panadería,2502,2,5004,Río Cuarto,2023-02-18,-33.1304,-64.3527,Medio,-0.12,-0.7,-0.52
29,2024-02-20,49,Olivia Gomez,olivia.gomez@mail.com,QR,66,Cerveza Negra 1L,Licores,1533,1,1533,Río Cuarto,2023-02-18,-33.1304,-64.3527,Bajo,-0.86,-1.44,-1.18
30,2024-03-03,93,Gael Rojas,gael.rojas@mail.com,Efectivo,49,Harina de Trigo 1kg,Abarrotes,2512,4,10048,Alta Gracia,2023-04-03,-31.6498,-64.4297,Medio,-0.11,0.76,0.44
30,2024-03-03,93,Gael Rojas,gael.rojas@mail.com,Efectivo,78,Verduras Congeladas Mix,Verduras,4289,3,12867,Alta Gracia,2023-04-03,-31.6498,-64.4297,Alto,1.25,0.03,0.98
30,2024-03-03,93,Gael Rojas,gael.rojas@mail.com,Efectivo,82,Aceitunas Negras 200g,Embutidos,2394,4,9576,Alta Gracia,2023-04-03,-31.6498,-64.4297,Medio,-0.2,0.76,0.35
30,2024-03-03,93,Gael Rojas,gael.rojas@mail.com,Efectivo,7,Jugo de Manzana 1L,Bebidas,3269,1,3269,Alta Gracia,2023-04-03,-31.6498,-64.4297,Bajo,0.47,-1.44,-0.85
31,2024-05-22,19,Uma Silva,uma.silva@mail.com,Tarjeta,92,Crema Dental 90g,Limpieza,2512,4,10048,Mendiolaza,2023-01-19,-31.2641,-64.3091,Medio,-0.11,0.76,0.44
31,2024-05-22,19,Uma Silva,uma.silva@mail.com,Tarjeta,90,Toallas Húmedas x50,Limpieza,2902,3,8706,Mendiolaza,2023-01-19,-31.2641,-64.3091,Medio,0.19,0.03,0.19
31,2024-05-22,19,Uma Silva,uma.silva@mail.com,Tarjeta,84,Queso Azul 150g,Embutidos,1645,5,8225,Mendiolaza,2023-01-19,-31.2641,-64.3091,Medio,-0.77,1.49,0.09
32,2024-01-30,31,Felipe Ruiz,felipe.ruiz@mail.com,Efectivo,72,Ron 700ml,Licores,3876,5,19380,Villa María,2023-01-31,-32.4075,-63.2402,Alto,0.93,1.49,2.21
32,2024-01-30,31,Felipe Ruiz,felipe.ruiz@mail.com,Efectivo,53,Lavandina 1L,Limpieza,1664,4,6656,Villa María,2023-01-31,-32.4075,-63.2402,Medio,-0.76,0.76,-0.2
32,2024-01-30,31,Felipe Ruiz,felipe.ruiz@mail.com,Efectivo,17,Queso Cremoso 500g,Embutidos,4834,3,14502,Villa María,2023-01-31,-32.4075,-63.2402,Alto,1.67,0.03,1.29
32,2024-01-30,31,Felipe Ruiz,felipe.ruiz@mail.com,Efectivo,35,Barrita de Cereal 30g,Dulcería,4430,3,13290,Villa María,2023-01-31,-32.4075,-63.2402,Alto,1.36,0.03,1.06
33,2024-02-13,6,Uma Medina,uma.medina@mail.com,Efectivo,47,Garbanzos 500g,Abarrotes,2939,2,5878,Villa María,2023-01-06,-32.4075,-63.2402,Medio,0.22,-0.7,-0.35
33,2024-02-13,6,Uma Medina,uma.medina@mail.com,Efectivo,76,Pizza Congelada Muzzarella,Embutidos,4286,4,17144,Villa María,2023-01-06,-32.4075,-63.2402,Alto,1.25,0.76,1.79
