id_venta;fecha;id_cliente;nombre_cliente;email;medio_pago;id_producto;nombre_producto_x;categoria;precio_unitario_y;cantidad;importe;ciudad;fecha_alta;latitud;longitud
1;2024-06-19;62;Guadalupe Romero;guadalupe.romero@mail.com;tarjeta;90;Toallas Húmedas x50;Limpieza;2902;1;2902;Villa Carlos Paz;3/3/2023;-31.4183;-64.4901
2;2024-03-17;49;Olivia Gomez;olivia.gomez@mail.com;qr;82;Aceitunas Negras 200g;Limpieza;2394;5;11970;Río Cuarto;18/2/2023;-33.1304;-64.3527
2;2024-03-17;49;Olivia Gomez;olivia.gomez@mail.com;qr;39;Helado Vainilla 1L;Alimentos;469;5;2345;Río Cuarto;18/2/2023;-33.1304;-64.3527
2;2024-03-17;49;Olivia Gomez;olivia.gomez@mail.com;qr;70;Fernet 750ml;Limpieza;4061;2;8122;Río Cuarto;18/2/2023;-33.1304;-64.3527
2;2024-03-17;49;Olivia Gomez;olivia.gomez@mail.com;qr;22;Medialunas de Manteca;Limpieza;2069;1;2069;Río Cuarto;18/2/2023;-33.1304;-64.3527
2;2024-03-17;49;Olivia Gomez;olivia.gomez@mail.com;qr;79;Hamburguesas Congeladas x4;Alimentos;2420;4;9680;Río Cuarto;18/2/2023;-33.1304;-64.3527
3;2024-01-13;20;Tomas Acosta;tomas.acosta@mail.com;tarjeta;9;Yerba Mate Suave 1kg;Alimentos;3878;2;7756;Río Cuarto;20/1/2023;-33.1304;-64.3527
3;2024-01-13;20;Tomas Acosta;tomas.acosta@mail.com;tarjeta;2;Pepsi 1.5L;Limpieza;4973;2;9946;Río Cuarto;20/1/2023;-33.1304;-64.3527
3;2024-01-13;20;Tomas Acosta;tomas.acosta@mail.com;tarjeta;85;Jugo en Polvo Naranja;Alimentos;1856;1;1856;Río Cuarto;20/1/2023;-33.1304;-64.3527
4;2024-02-27;36;Martina Molina;martina.molina@mail.com;transferencia;4;Fanta Naranja 1.5L;Limpieza;2033;2;4066;Mendiolaza;5/2/2023;-31.2641;-64.3091
4;2024-02-27;36;Martina Molina;martina.molina@mail.com;transferencia;23;Bizcochos Salados;Alimentos;2380;5;11900;Mendiolaza;5/2/2023;-31.2641;-64.3091
5;2024-06-11;56;Bruno Diaz;bruno.diaz@mail.com;tarjeta;86;Jugo en Polvo Limón;Limpieza;4090;4;16360;Río Cuarto;25/2/2023;-33.1304;-64.3527
6;2024-05-05;91;Uma Sanchez;uma.sanchez@mail.com;transferencia;25;Galletitas Vainilla;Alimentos;4015;2;8030;Mendiolaza;1/4/2023;-31.2641;-64.3091
6;2024-05-05;91;Uma Sanchez;uma.sanchez@mail.com;transferencia;31;Mix de Frutos Secos 200g;Alimentos;3409;3;10227;Mendiolaza;1/4/2023;-31.2641;-64.3091
6;2024-05-05;91;Uma Sanchez;uma.sanchez@mail.com;transferencia;83;Queso Untable 190g;Alimentos;1830;1;1830;Mendiolaza;1/4/2023;-31.2641;-64.3091
6;2024-05-05;91;Uma Sanchez;uma.sanchez@mail.com;transferencia;59;Chicle Menta;Alimentos;3612;4;14448;Mendiolaza;1/4/2023;-31.2641;-64.3091
7;2024-05-06;92;Mariana Rodriguez;mariana.rodriguez@mail.com;efectivo;63;Granola 250g;Alimentos;4337;3;13011;Alta Gracia;2/4/2023;-31.6498;-64.4297
8;2024-01-06;66;Tomas Herrera;tomas.herrera@mail.com;transferencia;53;Lavandina 1L;Alimentos;1664;5;8320;Villa María;7/3/2023;-32.4075;-63.2402
8;2024-01-06;66;Tomas Herrera;tomas.herrera@mail.com;transferencia;18;Queso Rallado 150g;Limpieza;3444;4;13776;Villa María;7/3/2023;-32.4075;-63.2402
8;2024-01-06;66;Tomas Herrera;tomas.herrera@mail.com;transferencia;68;Vino Blanco 750ml;Limpieza;2684;5;13420;Villa María;7/3/2023;-32.4075;-63.2402
9;2024-01-20;86;Diego Torres;diego.torres@mail.com;efectivo;65;Cerveza Rubia 1L;Alimentos;2423;4;9692;Córdoba;27/3/2023;-31.4065;-64.1885
10;2024-05-28;52;Diego Diaz;diego.diaz@mail.com;qr;36;Dulce de Leche 400g;Limpieza;2559;2;5118;Río Cuarto;21/2/2023;-33.1304;-64.3527
10;2024-05-28;52;Diego Diaz;diego.diaz@mail.com;qr;100;Trapo de Piso;Limpieza;4854;4;19416;Río Cuarto;21/2/2023;-33.1304;-64.3527
10;2024-05-28;52;Diego Diaz;diego.diaz@mail.com;qr;37;Mermelada de Durazno 400g;Alimentos;3196;3;9588;Río Cuarto;21/2/2023;-33.1304;-64.3527
10;2024-05-28;52;Diego Diaz;diego.diaz@mail.com;qr;62;Stevia 100 sobres;Limpieza;3848;1;3848;Río Cuarto;21/2/2023;-33.1304;-64.3527
11;2024-04-10;20;Tomas Acosta;tomas.acosta@mail.com;qr;13;Té Verde 20 saquitos;Alimentos;2383;1;2383;Río Cuarto;20/1/2023;-33.1304;-64.3527
11;2024-04-10;20;Tomas Acosta;tomas.acosta@mail.com;qr;65;Cerveza Rubia 1L;Alimentos;2423;2;4846;Río Cuarto;20/1/2023;-33.1304;-64.3527
11;2024-04-10;20;Tomas Acosta;tomas.acosta@mail.com;qr;28;Papas Fritas Clásicas 100g;Limpieza;936;1;936;Río Cuarto;20/1/2023;-33.1304;-64.3527
12;2024-06-28;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo;72;Ron 700ml;Limpieza;3876;2;7752;Córdoba;6/4/2023;-31.4065;-64.1885
12;2024-06-28;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo;50;Azúcar 1kg;Limpieza;727;2;1454;Córdoba;6/4/2023;-31.4065;-64.1885
12;2024-06-28;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo;56;Papel Higiénico x4;Limpieza;2532;3;7596;Córdoba;6/4/2023;-31.4065;-64.1885
12;2024-06-28;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo;87;Sopa Instantánea Pollo;Alimentos;1679;3;5037;Córdoba;6/4/2023;-31.4065;-64.1885
12;2024-06-28;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo;38;Mermelada de Frutilla 400g;Limpieza;1584;4;6336;Córdoba;6/4/2023;-31.4065;-64.1885
13;2024-01-24;6;Uma Medina;uma.medina@mail.com;tarjeta;87;Sopa Instantánea Pollo;Alimentos;1679;1;1679;Villa María;6/1/2023;-32.4075;-63.2402
13;2024-01-24;6;Uma Medina;uma.medina@mail.com;tarjeta;81;Aceitunas Verdes 200g;Alimentos;2520;3;7560;Villa María;6/1/2023;-32.4075;-63.2402
13;2024-01-24;6;Uma Medina;uma.medina@mail.com;tarjeta;13;Té Verde 20 saquitos;Alimentos;2383;1;2383;Villa María;6/1/2023;-32.4075;-63.2402
14;2024-04-18;67;Ivana Romero;ivana.romero@mail.com;qr;36;Dulce de Leche 400g;Limpieza;2559;4;10236;Alta Gracia;8/3/2023;-31.6498;-64.4297
14;2024-04-18;67;Ivana Romero;ivana.romero@mail.com;qr;72;Ron 700ml;Limpieza;3876;5;19380;Alta Gracia;8/3/2023;-31.6498;-64.4297
14;2024-04-18;67;Ivana Romero;ivana.romero@mail.com;qr;38;Mermelada de Frutilla 400g;Limpieza;1584;3;4752;Alta Gracia;8/3/2023;-31.6498;-64.4297
14;2024-04-18;67;Ivana Romero;ivana.romero@mail.com;qr;97;Limpiavidrios 500ml;Alimentos;872;1;872;Alta Gracia;8/3/2023;-31.6498;-64.4297
15;2024-06-27;56;Bruno Diaz;bruno.diaz@mail.com;transferencia;37;Mermelada de Durazno 400g;Alimentos;3196;3;9588;Río Cuarto;25/2/2023;-33.1304;-64.3527
16;2024-04-12;2;Nicolas Rojas;nicolas.rojas@mail.com;efectivo;35;Barrita de Cereal 30g;Alimentos;4430;5;22150;Villa Carlos Paz;2/1/2023;-31.4183;-64.4901
17;2024-02-17;88;Felipe Castro;felipe.castro@mail.com;efectivo;81;Aceitunas Verdes 200g;Alimentos;2520;5;12600;Villa María;29/3/2023;-32.4075;-63.2402
17;2024-02-17;88;Felipe Castro;felipe.castro@mail.com;efectivo;46;Lentejas Secas 500g;Limpieza;3036;5;15180;Villa María;29/3/2023;-32.4075;-63.2402
17;2024-02-17;88;Felipe Castro;felipe.castro@mail.com;efectivo;74;Whisky 750ml;Limpieza;2953;3;8859;Villa María;29/3/2023;-32.4075;-63.2402
18;2024-06-11;81;Camila Ruiz;camila.ruiz@mail.com;qr;33;Chocolate con Leche 100g;Alimentos;1255;2;2510;Villa Carlos Paz;22/3/2023;-31.4183;-64.4901
18;2024-06-11;81;Camila Ruiz;camila.ruiz@mail.com;qr;4;Fanta Naranja 1.5L;Limpieza;2033;5;10165;Villa Carlos Paz;22/3/2023;-31.4183;-64.4901
18;2024-06-11;81;Camila Ruiz;camila.ruiz@mail.com;qr;24;Galletitas Chocolate;Limpieza;1305;2;2610;Villa Carlos Paz;22/3/2023;-31.4183;-64.4901
18;2024-06-11;81;Camila Ruiz;camila.ruiz@mail.com;qr;15;Leche Descremada 1L;Alimentos;2538;3;7614;Villa Carlos Paz;22/3/2023;-31.4183;-64.4901
18;2024-06-11;81;Camila Ruiz;camila.ruiz@mail.com;qr;22;Medialunas de Manteca;Limpieza;2069;5;10345;Villa Carlos Paz;22/3/2023;-31.4183;-64.4901
19;2024-06-11;80;Gael Ruiz;gael.ruiz@mail.com;efectivo;38;Mermelada de Frutilla 400g;Limpieza;1584;2;3168;Mendiolaza;21/3/2023;-31.2641;-64.3091
19;2024-06-11;80;Gael Ruiz;gael.ruiz@mail.com;efectivo;98;Desengrasante 500ml;Limpieza;2843;3;8529;Mendiolaza;21/3/2023;-31.2641;-64.3091
19;2024-06-11;80;Gael Ruiz;gael.ruiz@mail.com;efectivo;63;Granola 250g;Alimentos;4337;3;13011;Mendiolaza;21/3/2023;-31.2641;-64.3091
20;2024-01-13;75;Santiago Castro;santiago.castro@mail.com;tarjeta;32;Chocolate Amargo 100g;Limpieza;2234;3;6702;Río Cuarto;16/3/2023;-33.1304;-64.3527
21;2024-06-19;10;Karina Acosta;karina.acosta@mail.com;transferencia;76;Pizza Congelada Muzzarella;Limpieza;4286;5;21430;Córdoba;10/1/2023;-31.4065;-64.1885
21;2024-06-19;10;Karina Acosta;karina.acosta@mail.com;transferencia;35;Barrita de Cereal 30g;Alimentos;4430;1;4430;Córdoba;10/1/2023;-31.4065;-64.1885
22;2024-05-08;64;Julian Alvarez;julian.alvarez@mail.com;transferencia;9;Yerba Mate Suave 1kg;Alimentos;3878;2;7756;Villa María;5/3/2023;-32.4075;-63.2402
22;2024-05-08;64;Julian Alvarez;julian.alvarez@mail.com;transferencia;28;Papas Fritas Clásicas 100g;Limpieza;936;3;2808;Villa María;5/3/2023;-32.4075;-63.2402
22;2024-05-08;64;Julian Alvarez;julian.alvarez@mail.com;transferencia;24;Galletitas Chocolate;Limpieza;1305;4;5220;Villa María;5/3/2023;-32.4075;-63.2402
23;2024-05-16;78;Emilia Alvarez;emilia.alvarez@mail.com;transferencia;64;Avena Instantánea 250g;Limpieza;3953;4;15812;Villa María;19/3/2023;-32.4075;-63.2402
23;2024-05-16;78;Emilia Alvarez;emilia.alvarez@mail.com;transferencia;83;Queso Untable 190g;Alimentos;1830;4;7320;Villa María;19/3/2023;-32.4075;-63.2402
24;2024-06-14;55;Olivia Ruiz;olivia.ruiz@mail.com;tarjeta;91;Desodorante Aerosol;Alimentos;4690;2;9380;Mendiolaza;24/2/2023;-31.2641;-64.3091
24;2024-06-14;55;Olivia Ruiz;olivia.ruiz@mail.com;tarjeta;40;Helado Chocolate 1L;Limpieza;1215;5;6075;Mendiolaza;24/2/2023;-31.2641;-64.3091
25;2024-04-30;13;Ivana Sanchez;ivana.sanchez@mail.com;transferencia;55;Shampoo 400ml;Alimentos;1407;1;1407;Villa Carlos Paz;13/1/2023;-31.4183;-64.4901
25;2024-04-30;13;Ivana Sanchez;ivana.sanchez@mail.com;transferencia;95;Mascarilla Capilar;Alimentos;1581;5;7905;Villa Carlos Paz;13/1/2023;-31.4183;-64.4901
25;2024-04-30;13;Ivana Sanchez;ivana.sanchez@mail.com;transferencia;72;Ron 700ml;Limpieza;3876;1;3876;Villa Carlos Paz;13/1/2023;-31.4183;-64.4901
26;2024-01-23;49;Olivia Gomez;olivia.gomez@mail.com;efectivo;79;Hamburguesas Congeladas x4;Alimentos;2420;2;4840;Río Cuarto;18/2/2023;-33.1304;-64.3527
